NAMESPACE                       NAME                                      READY   STATUS        RESTARTS        AGE     IP             NODE       NOMINATED NODE   READINESS GATES
default                         gvisor-manual-probe                       0/1     Error         0               20s     10.210.3.24    worker-2   <none>           <none>
default                         gvisor-sleep                              0/1     Error         0               3d      10.210.1.30    worker-1   <none>           <none>
istio-gvisor-smoke-1781009000   curl-1781009000-6f5fc947f4-9rh4z          0/2     Terminating   4 (2d23h ago)   2d23h   10.210.0.194   cp-0       <none>           <none>
istio-gvisor-smoke-1781009000   echo-1781009000-7b888dd5fb-87tjx          0/2     Terminating   4 (2d23h ago)   2d23h   10.210.3.18    worker-2   <none>           <none>
istio-gvisor-smoke-1781009607   curl-1781009607-6d8c4f97c9-6c82x          0/2     Terminating   3 (2d23h ago)   2d23h   10.210.3.20    worker-2   <none>           <none>
istio-gvisor-smoke-1781009607   echo-1781009607-64fff99555-f9w8j          0/2     Terminating   3 (2d23h ago)   2d23h   10.210.3.19    worker-2   <none>           <none>
istio-gvisor-smoke-1781009834   curl-1781009834-ffcf69899-txln2           0/2     Terminating   3 (2d23h ago)   2d23h   10.210.0.196   cp-0       <none>           <none>
istio-gvisor-smoke-1781009834   echo-1781009834-77b5c57967-79vpk          0/2     Terminating   3 (2d23h ago)   2d23h   10.210.0.195   cp-0       <none>           <none>
istio-gvisor-smoke              curl-1781008775-678456dbcd-6fkb2          0/2     Terminating   4 (2d23h ago)   2d23h   10.210.3.12    worker-2   <none>           <none>
istio-gvisor-smoke              echo-1781008775-545569bfb4-g4rb5          0/2     Terminating   4 (2d23h ago)   2d23h   10.210.0.193   cp-0       <none>           <none>
istio-system                    istiod-767844668d-lpxv8                   1/1     Running       0               2d23h   10.210.1.31    worker-1   <none>           <none>
kube-system                     coredns-5c5cd8fc79-spc84                  1/1     Running       0               3d      10.210.0.189   cp-0       <none>           <none>
kube-system                     helm-install-traefik-crd-l7czp            0/1     Completed     0               3d      10.210.0.191   cp-0       <none>           <none>
kube-system                     helm-install-traefik-v4kz8                0/1     Completed     1               3d      10.210.0.190   cp-0       <none>           <none>
kube-system                     local-path-provisioner-646d4d78cb-s5xt9   1/1     Running       0               3d      10.210.0.188   cp-0       <none>           <none>
kube-system                     metrics-server-564cb4ff68-28tx5           1/1     Running       0               3d      10.210.0.187   cp-0       <none>           <none>
kube-system                     svclb-traefik-8752ccc1-cfz8k              2/2     Running       0               3d      10.210.1.26    worker-1   <none>           <none>
kube-system                     svclb-traefik-8752ccc1-pv8kl              2/2     Running       0               3d      10.210.3.3     worker-2   <none>           <none>
kube-system                     svclb-traefik-8752ccc1-qjgmh              2/2     Running       0               3d      10.210.0.192   cp-0       <none>           <none>
kube-system                     traefik-79f8d498fd-k2gwm                  1/1     Running       0               3d      10.210.3.2     worker-2   <none>           <none>
