NAMESPACE      NAME                                      READY   STATUS      RESTARTS   AGE     IP           NODE       NOMINATED NODE   READINESS GATES
default        kubearmor-demo-664f558869-4nxj9           1/1     Running     0          5m20s   10.0.1.137   worker-1   <none>           <none>
istio-system   istiod-7d5594ccc9-762l2                   1/1     Running     0          3m18s   10.0.2.144   worker-2   <none>           <none>
kube-system    cilium-5fw5g                              1/1     Running     0          7m58s   10.190.0.5   cp-0       <none>           <none>
kube-system    cilium-envoy-cwv4p                        1/1     Running     0          7m58s   10.190.0.6   worker-2   <none>           <none>
kube-system    cilium-envoy-jndfs                        1/1     Running     0          7m58s   10.190.0.5   cp-0       <none>           <none>
kube-system    cilium-envoy-w6fgl                        1/1     Running     0          7m58s   10.190.0.4   worker-1   <none>           <none>
kube-system    cilium-operator-78dbd46477-c6lqm          1/1     Running     0          7m58s   10.190.0.4   worker-1   <none>           <none>
kube-system    cilium-rctgr                              1/1     Running     0          7m58s   10.190.0.4   worker-1   <none>           <none>
kube-system    cilium-vpszr                              1/1     Running     0          7m58s   10.190.0.6   worker-2   <none>           <none>
kube-system    coredns-7896679cc-jbvrb                   1/1     Running     0          8m46s   10.0.2.19    worker-2   <none>           <none>
kube-system    helm-install-traefik-7k4wh                0/1     Completed   1          8m46s   10.0.2.7     worker-2   <none>           <none>
kube-system    helm-install-traefik-crd-xz845            0/1     Completed   0          8m46s   10.0.2.247   worker-2   <none>           <none>
kube-system    local-path-provisioner-578895bd58-ghkmq   1/1     Running     0          8m46s   10.0.2.46    worker-2   <none>           <none>
kube-system    metrics-server-7b9c9c4b9c-dnz6t           0/1     Running     0          8m46s   10.0.2.28    worker-2   <none>           <none>
kube-system    svclb-traefik-fc375350-5s452              2/2     Running     0          6m58s   10.0.1.214   worker-1   <none>           <none>
kube-system    svclb-traefik-fc375350-jg4fm              2/2     Running     0          6m58s   10.0.2.185   worker-2   <none>           <none>
kube-system    svclb-traefik-fc375350-rkb8h              2/2     Running     0          6m58s   10.0.0.20    cp-0       <none>           <none>
kube-system    traefik-6f986b958c-srwvk                  1/1     Running     0          6m58s   10.0.0.143   cp-0       <none>           <none>
kubearmor      kubearmor-apparmor-cri-o-c5583-slsrw      1/1     Running     0          6m27s   10.190.0.6   worker-2   <none>           <none>
kubearmor      kubearmor-apparmor-cri-o-c5583-t78wn      1/1     Running     0          6m30s   10.190.0.4   worker-1   <none>           <none>
kubearmor      kubearmor-apparmor-cri-o-c5583-tv4nq      1/1     Running     0          6m29s   10.190.0.5   cp-0       <none>           <none>
kubearmor      kubearmor-controller-5cb55cb96-22wtj      1/1     Running     0          6m14s   10.0.0.38    cp-0       <none>           <none>
kubearmor      kubearmor-operator-7dd48b44d5-mbm2m       1/1     Running     0          6m50s   10.0.1.57    worker-1   <none>           <none>
kubearmor      kubearmor-relay-7b78d7db7f-shtjf          1/1     Running     0          6m29s   10.0.0.189   cp-0       <none>           <none>
