NAMESPACE              NAME                                        READY   STATUS      RESTARTS   AGE     IP             NODE       NOMINATED NODE   READINESS GATES
agent-sandbox-system   agent-sandbox-controller-7d7998f9c7-dw6w7   1/1     Running     0          2d23h   10.220.0.163   cp-0       <none>           <none>
istio-system           istiod-767844668d-7rm9t                     1/1     Running     0          2d23h   10.220.1.8     worker-1   <none>           <none>
kube-system            coredns-5c5cd8fc79-2ckjl                    1/1     Running     0          2d23h   10.220.0.160   cp-0       <none>           <none>
kube-system            helm-install-traefik-8ng55                  0/1     Completed   1          2d23h   10.220.0.161   cp-0       <none>           <none>
kube-system            helm-install-traefik-crd-bpbvh              0/1     Completed   0          2d23h   10.220.0.164   cp-0       <none>           <none>
kube-system            local-path-provisioner-646d4d78cb-2ws9l     1/1     Running     0          2d23h   10.220.0.162   cp-0       <none>           <none>
kube-system            metrics-server-564cb4ff68-xjhjm             1/1     Running     0          2d23h   10.220.0.159   cp-0       <none>           <none>
kube-system            svclb-openshell-9241418a-58lp2              2/2     Running     0          2d23h   10.220.3.4     worker-2   <none>           <none>
kube-system            svclb-openshell-9241418a-kdl9w              2/2     Running     0          2d23h   10.220.0.166   cp-0       <none>           <none>
kube-system            svclb-openshell-9241418a-vq8vd              2/2     Running     0          2d23h   10.220.1.4     worker-1   <none>           <none>
kube-system            svclb-traefik-d54af59c-2gjmb                2/2     Running     0          2d23h   10.220.3.2     worker-2   <none>           <none>
kube-system            svclb-traefik-d54af59c-5z4mp                2/2     Running     0          2d23h   10.220.1.2     worker-1   <none>           <none>
kube-system            svclb-traefik-d54af59c-cbtst                2/2     Running     0          2d23h   10.220.0.165   cp-0       <none>           <none>
kube-system            traefik-79f8d498fd-6kgw8                    1/1     Running     0          2d23h   10.220.1.3     worker-1   <none>           <none>
openshell              matrix-k3s-openshell-runc-1781265523        1/1     Running     0          16s     10.220.1.17    worker-1   <none>           <none>
openshell              openshell-0                                 1/1     Running     0          2d23h   10.220.3.6     worker-2   <none>           <none>
openshell              openshell-sandbox-patcher-ccb5fcb47-5pq6h   1/1     Running     0          2d23h   10.220.3.7     worker-2   <none>           <none>
