NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                         MESSAGE
kube-system   10m         Normal    Scheduled                        pod/svclb-traefik-30b6aef5-rhzmn               Successfully assigned kube-system/svclb-traefik-30b6aef5-rhzmn to cp-0
kube-system   10m         Normal    Scheduled                        pod/helm-install-traefik-whjhh                 Successfully assigned kube-system/helm-install-traefik-whjhh to cp-0
kube-system   10m         Normal    Scheduled                        pod/local-path-provisioner-578895bd58-4rfgv    Successfully assigned kube-system/local-path-provisioner-578895bd58-4rfgv to cp-0
kube-system   9m27s       Normal    Scheduled                        pod/svclb-traefik-30b6aef5-x29d2               Successfully assigned kube-system/svclb-traefik-30b6aef5-x29d2 to worker-1
default       9m26s       Normal    Starting                         node/worker-1                                  
default       104s        Normal    Scheduled                        pod/kata-verify-1782370081                     Successfully assigned default/kata-verify-1782370081 to worker-1
kube-system   10m         Normal    Scheduled                        pod/helm-install-traefik-crd-hz5dw             Successfully assigned kube-system/helm-install-traefik-crd-hz5dw to cp-0
default       10m         Normal    Starting                         node/cp-0                                      
kube-system   10m         Normal    Scheduled                        pod/traefik-6f986b958c-gxtc6                   Successfully assigned kube-system/traefik-6f986b958c-gxtc6 to cp-0
kube-system   9m52s       Normal    Scheduled                        pod/svclb-traefik-30b6aef5-8lr26               Successfully assigned kube-system/svclb-traefik-30b6aef5-8lr26 to worker-2
kube-system   10m         Normal    Scheduled                        pod/coredns-7896679cc-p46np                    Successfully assigned kube-system/coredns-7896679cc-p46np to cp-0
default       9m51s       Normal    Starting                         node/worker-2                                  
default       4m22s       Normal    Scheduled                        pod/kata-verify-1782369921                     Successfully assigned default/kata-verify-1782369921 to worker-2
default       6s          Normal    Scheduled                        pod/kata-evidence-1782370178                   Successfully assigned default/kata-evidence-1782370178 to worker-2
kube-system   10m         Normal    Scheduled                        pod/metrics-server-7b9c9c4b9c-4b4bc            Successfully assigned kube-system/metrics-server-7b9c9c4b9c-4b4bc to cp-0
default       10m         Normal    CertificateExpirationOK          node/cp-0                                      Node and Certificate Authority certificates managed by k3s are OK
default       10m         Normal    Starting                         node/cp-0                                      Starting kubelet.
default       10m         Normal    NodeReady                        node/cp-0                                      Node cp-0 status is now: NodeReady
default       10m         Normal    NodeAllocatableEnforced          node/cp-0                                      Updated Node Allocatable limit across pods
default       10m         Normal    NodeHasSufficientPID             node/cp-0                                      Node cp-0 status is now: NodeHasSufficientPID
default       10m         Normal    NodeHasNoDiskPressure            node/cp-0                                      Node cp-0 status is now: NodeHasNoDiskPressure
default       10m         Normal    NodeHasSufficientMemory          node/cp-0                                      Node cp-0 status is now: NodeHasSufficientMemory
kube-system   10m         Normal    AppliedManifest                  addon/ccm                                      Applied manifest at "/var/lib/rancher/k3s/server/manifests/ccm.yaml"
kube-system   10m         Normal    AppliedManifest                  addon/coredns                                  Applied manifest at "/var/lib/rancher/k3s/server/manifests/coredns.yaml"
kube-system   10m         Normal    ApplyingManifest                 addon/coredns                                  Applying manifest at "/var/lib/rancher/k3s/server/manifests/coredns.yaml"
kube-system   10m         Normal    ApplyingManifest                 addon/local-storage                            Applying manifest at "/var/lib/rancher/k3s/server/manifests/local-storage.yaml"
kube-system   10m         Normal    ApplyingManifest                 addon/ccm                                      Applying manifest at "/var/lib/rancher/k3s/server/manifests/ccm.yaml"
kube-system   10m         Normal    ApplyingManifest                 addon/resource-reader                          Applying manifest at "/var/lib/rancher/k3s/server/manifests/metrics-server/resource-reader.yaml"
